File,Iteration,Duration_w_all_Columns,Num_op_w_all_columns,Number of error,Round,Rows-Column
7,8,200.8361069952116,0,0,8,66
6,9,266.4533370011668,0,0,9,66
7,9,246.61604699917916,0,0,9,66
6,10,195.6045960002939,0,0,10,66
7,10,179.44751800246195,0,0,10,66
6,11,276.63454000185084,0,0,11,66
7,11,317.66435600366094,0,0,11,66
6,12,313.07456099898445,0,0,12,66
7,12,269.6935260023565,0,0,12,66
6,13,199.03049199706402,0,0,13,66
7,13,176.5517580042797,0,0,13,66
6,14,218.37383900378882,0,0,14,66
7,14,192.3836949968063,0,0,14,66
6,15,226.56914699791741,0,0,15,66
7,15,192.78703399731967,0,0,15,66
6,16,273.991021999791,0,0,16,66
7,16,256.67833999591494,0,0,16,66
6,17,265.6159960060904,0,0,17,66
7,17,250.4471279989957,0,0,17,66
6,18,257.461165992936,0,0,18,66
7,18,235.55776499938474,0,0,18,66
6,19,231.0192729987648,0,0,19,66
7,19,209.890955005676,0,0,19,66
6,0,285.9307829965019,0,0,0,67
7,0,274.5792789978623,0,0,0,67
6,1,208.74754399937956,0,0,1,67
7,1,186.1815090012442,0,0,1,67
6,2,261.69933000005585,0,0,2,67
7,2,246.37109800369217,0,0,2,67
6,3,172.25326800121366,0,0,3,67
7,3,160.87629799403658,0,0,3,67
6,4,253.04934300174864,0,0,4,67
7,4,254.31714399792327,0,0,4,67
6,5,211.37518599743998,0,0,5,67
7,5,185.91895300710348,0,0,5,67
6,6,210.29577499552943,0,0,6,67
7,6,207.27730900171082,0,0,6,67
6,7,203.5520609967989,0,0,7,67
7,7,189.01234700138048,0,0,7,67
6,8,230.0320759970873,0,0,8,67
7,8,219.0644149984564,0,0,8,67
6,9,232.4863500059564,0,0,9,67
7,9,212.14588700127024,0,0,9,67
6,10,246.3447180066396,0,0,10,67
7,10,196.67101300524337,0,0,10,67
6,11,193.45276200328954,0,0,11,67
7,11,183.0807089957034,0,0,11,67
6,12,185.87511599798745,0,0,12,67
7,12,171.43857400037632,0,0,12,67
6,13,231.49161699734577,0,0,13,67
7,13,230.37868300048103,0,0,13,67
6,14,472.0976070002507,0,0,14,67
7,14,452.2160699955293,0,0,14,67
6,15,228.90419299665155,0,0,15,67
7,15,207.35456000261365,0,0,15,67
6,16,186.4698470001258,0,0,16,67
7,16,168.51827200321168,0,0,16,67
6,17,185.37665600160835,0,0,17,67
7,17,170.31240899814293,0,0,17,67
6,18,209.04345700273552,0,0,18,67
7,18,193.0967440018776,0,0,18,67
